,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
476, – A)Madagascar,Madagascar,Ireland,Italy,Guinea,None of these,Eighth Continent is nickname of …………………," :Madagascar, located in the Indian Ocean off the east coast of Africa, is the fourth largest island in the world. Its long isolation from neighbouring continents allowed the evolution of distinct communities of plants and animals. It is home to five percent of the world’s plant and animal species, 80 percent of which are endemic to Madagascar. Some biogeographers refer to the island as the “eighth continent”, in recognition of its uniqueness and diversity.",12.1
477, – B)City of  snow,City of roses,City of  snow,city of smoke,City of pope,None of these,……………………….. is the surname of  Canada," :Canada nickname is city of snow. It is a country in the northern part of North America. Its ten provinces and three territories extend from the Atlantic to the Pacific and northward into the Arctic Ocean, covering 9.98 million square kilometres (3 .85 million square miles), making it the world’s second-largest country by total area and the fourth-largest country by land area.",12.1
478, – C)Japan,Brazil,Egypt,Japan,Russia,None of these,Britain of the East is nick name of which country ?, :Britain of the East – Japan,12.1
479, – A)Cairo,Cairo,Chandigarh,Osaka,New York,None of these,The City that Never Sleeps is Surname of …………………..," :In a 2011 study of the world’s 24-hour cities, Cairo was ranked the “most 24-hour” of all. Just behind Egypt’s capital came Montevideo, Beirut, six Spanish cities –  A global study conducted by Badoo.",12.1
480, – D)Dead Heart of Africa,Emerland island,City of  palaces,Costliest coast,Dead Heart of Africa,None of these,…………………………… is the nickname of Chad," :Chad is bounded to the north by Libya, to the east by Sudan, to the west by Niger, Nigeria and Cameroon, and to the south by the Central African Republic. The country’s capital is 1,060 kilometres (660 mi) from the nearest seaport, Douala, Cameroon.Because of this distance from the sea and the country’s largely desert climate, Chad is sometimes referred to as the “Dead Heart of Africa”",12.1
481, – A)Athens,Athens,Natal,Chad, Shantos,None of these,Which city surname is Eye of Greece ?," :Athens is the capital and largest city of Greece. Athens dominates the Attica region and is one of the world’s oldest cities, with its recorded history spanning around 3,400 years.Athens nickname is Eye of Greece.",12.1
482, – D)Thailand,New York,Paris,Denmark,Thailand,None of these,Land of smiles is nickname of …………………..," :Thailand is called the Land of Smiles because it classifies thirteen types of smiles, not because everyone is happy.",12.1
483, – B)George cross island,Garden provice of south africa,George cross island,Golden city,Golden State,None of these,Malta is also known as …………………………," :The George Cross was awarded to the island of Malta by King George VI of the United Kingdom in a letter dated 15 April 1942 to the island’s Governor Lieutenant-General Sir William Dobbie, so as to “bear witness to the heroism and devotion of its people” during the great siege it underwent in the early parts of World War II",12.1
484, – C)Lhasa,Kent,Darwin,Lhasa,Tonga,None of these,Forbidden city is surname of which country ?, :Lhasa is the capital of Tibet. It is restricted to foreigners and Tibet permit and travel guide is needed for one who want to travel in the whole area.,12.1
485, – B)Cameroon,Cairo,Cameroon,Lagos,Accra,None of these,Africa in Miniature is nickname of ………………," :Tourist literature describes Cameroon as “Africa in miniature” because it exhibits all major climates and vegetation of the continent: coast, desert, mountains, rainforest, and savanna. Therefore the soil is rich in minerals",12.1
486, – A)City of dreaming spires,City of dreaming spires,City of Sky Scrappers,City of factories,Concentration Camp of Africa,None of these,…………………….. is surname of Oxford," :Oxford is the county town of Oxfordshire and famous worldwide for its prestigious university, the oldest in the English-speaking world. In his poem ‘Thyrsis’ the Victorian poet Matthew Arnold called Oxford ‘the city of dreaming spires’ after the stunning architecture of these university buildings.",12.1
487, – D)Coast Rica,Thailand,Egypt,Brazil,Coast Rica,None of these,Costliest coast is nickname of ……………………," :Costa Rica is also known as Costliest coast.It is a rugged, rainforested Central American country with coastlines on the Caribbean and Pacific.",12.1
488, – D)Belgium,New York,Beijing,Rome,Belgium,None of these,Cockpit of Europe is surname of ……………………….," :Belgium is so called because it has been the site of more European battles than any other country.For example, Oudenarde, Ramillies, Fontenoy, Fleurus, Jemmapes, Ligny, Quatre Bras, Waterloo.",12.1
489, – C)Ireland,Finland,Iceland,Ireland,Netherland,None of these,Which of the following is known as Emerald island ?," :Emerald Isle is the poetic name for Ireland due to its green countryside, first referred to in print by William Drennan in his poem “When Erin first rose”.",12.1
490, – D)Front door of Australia,Gate way of Australia,Electronic city,Eternal city,Front door of Australia,None of these,Darwin nickname is …………………….," :Darwin is capital of the Northern Territory and gateway to Kakadu National Park, Australia’s largest. It’s known as a laid-back blend of frontier outpost and modern city and also known as fron door of Australia. At its heart is the Smith Street pedestrian mall, notable for shops selling Aboriginal art and crafts, South Sea pearls, opals and diamonds.",12.1
491, – A)Atlantic Ocean,Atlantic Ocean,Indian Ocean,Pacific Ocean,Arctic ocean,None of these,Herring pond is nickname of which of the following ?, :Atlantic Ocean i known as Herring bond because there is a lot more Herring fish in it than any other kind.,12.1
492, – C)Shantos,Britain,Beijing,Shantos,Brazil,None of these,…………………………….. is also known as Coffee port of the world," :The Port of Santos  is located in the city of Santos,Brazil. As of 2006, it is the busiest container port in Latin America.Brazil is the world’s largest coffee producer, growing and exporting as much as 30% of the world’s coffee.",12.1
493, – C)The Boot  ,Golden city,Gateway of Europe,The Boot,Granery of Europe,None of these,Italy is called as …………………………..," :The peninsula’s shape gives it the nickname The Boot. Three smaller peninsulas contribute to this characteristic shape, namely Calabria, Salento and Gargano .",12.1
494, – A)Newyork,Newyork,Jerusalem,Malta,Somalia,None of these,Broadway is also known as Great white way is located in ………………….," :The Great White Way” became one of the nicknames for Broadway in the late 1890s, back when the street was one of the first to be fully illuminated by electric light.",12.1
495, – A)Hermit kingdom,Hermit kingdom,Garden province of south africa,Herring city,Eternal city,None of these,Korea surname is ………………………," :Korea’s position, in close proximity to both China and Japan, makes her future calm and undisturbed, that their country became known as a Hermit Kingdom.",12.1
496, – C)Tonga,France,Australia,Tonga,Thailand,None of these,………………… is also known as Friendly island, :Tonga became known as the Friendly Islands because of the congenial reception accorded to Captain James Cook on his first visit in 1773 .,12.1
497, – B)New York,Paris,New York,Washington,Quito,None of these,City of Sky Scrappers is nickname of ………………," :New York Skyscrapers. New York is the world’s ultimate skyscraper city. Already at the end of the 19th century, the limited space on Manhattan caused developers to build ever taller towers.",12.1
498, – C)Baghdad,New York,Brazil,Baghdad,Bangkok,None of these,City of arbian nights is nickname of …………………….," :Baghdad  is the capital of the Republic of Iraq.It is  the second largest city in the Arab world(after Cairo, Egypt), and the second largest city in Western Asia (after Tehran, Iran).",12.1
499, – A)Detroit,Detroit,Aden,Tokyo,Rome,None of these,……………………… nick name is City of motor cars," :Detroit is the largest city in the midwestern state of Michigan. Near Downtown, the neoclassical Detroit Institute of Arts is famed for Diego Rivera murals inspired by the city’s long-standing ties to the auto industry, which earned it the nickname “Motor City.",12.1
500, – A)Little Paris,Little Paris,Holy City,City of roses,Empire City,None of these,Bucharest surname is ……………………….," :In the period between the two World Wars, the city’s elegant architecture and the sophistication of its elite earned  Bucharest the nickname of “Little Paris”",12.1
